action-fantasy-case-1	ストリートラップ MV パフォーマンス
action-fantasy-case-2	黒猫の砂漠武術対決
action-fantasy-case-3	実写版・呼吸法対決
action-fantasy-case-4	20 カットの高速アニメシーケンス
action-fantasy-case-5	油まみれの整備士が修理する様子
action-fantasy-case-6	侍の復讐短編映画
action-fantasy-case-7	スタイライズされた 3D バトルアニメーション
action-fantasy-case-8	テンポの速いコメディパロディ短編
action-fantasy-case-9	巨大忍者の特撮バトル
action-fantasy-case-10	日本アニメの会話シーケンス
action-fantasy-case-11	15 秒のオリジナル元素バトル短編
action-fantasy-case-12	ファベルジェ風ファンタジーエッグのアニメーション
action-fantasy-case-13	オリジナル元素バトル短編
action-fantasy-case-14	映画的な SF ファンタジー対決
action-fantasy-case-15	15 秒連続ワンカット・アクション
action-fantasy-case-16	崖上で対峙する孤高の侍
action-fantasy-case-17	ならず者ドラゴンの空中急降下
action-fantasy-case-18	無重力下のメカ争奪戦
action-fantasy-case-19	ドラゴンに乗る少女の超高速飛行アクション
action-fantasy-case-20	15 秒のオリジナル砂漠武術短編
action-fantasy-case-21	峡谷への空爆シーケンス
action-fantasy-case-22	15 秒の超写実的な戦争大作
action-fantasy-case-23	オフィスのコーヒーブレイクが大惨事に
action-fantasy-case-24	15 秒連続ワンカット・アクション
action-fantasy-case-25	ブラックスワン対ボクサー
action-fantasy-case-26	地面を割って飛び立つスーパーマン
action-fantasy-case-27	雲洞の剣影
action-fantasy-case-28	神々の都 — 東洋幻想のワンカット飛行
action-fantasy-case-29	壮大なファンタジーバトル — 映画的な 10 秒シーケンス
action-fantasy-case-30	ダークファンタジー変身 — 東洋風
action-fantasy-case-31	ワニを燃料ラインへ誘導する川の罠
action-fantasy-case-32	電撃が走る地下闘技場の決闘
action-fantasy-case-33	滑走路で飛行機に引きずられるワニ
action-fantasy-case-34	稲妻ストライカーのアニメゴール
action-fantasy-case-35	野花咲く谷を飛ぶグリフィン
action-fantasy-case-36	モンゴル騎兵のパルティアンショット
action-fantasy-case-37	巨大カエルの飛脚疾走
action-fantasy-case-38	雷の戦士ゾンビ包囲戦
action-fantasy-case-39	白虎の古寺雷雨
action-fantasy-case-40	補給船と巨大ザメ
action-fantasy-case-41	闘技場の女巨人による大逆転
action-fantasy-case-42	倉庫でのボディガード制圧劇
action-fantasy-case-43	北極基地ワーム襲撃
cinematic-realism-case-1	現代日本のドキュメンタリーシーケンス
cinematic-realism-case-2	影を追うロングボードのダウンヒル
cinematic-realism-case-3	隕石で覚醒する戦乙女
cinematic-realism-case-4	霧のカプセル島ドラマ
cinematic-realism-case-5	嵐の断崖に現れる侍
cinematic-realism-case-6	VHSプール大飛び込み審査員
cinematic-realism-case-7	黒のヴィンテージカー嵐の疾走
cinematic-realism-case-8	嵐の海岸灯台シーケンス
cinematic-realism-case-9	砂嵐を突っ切るバギー脱出
cinematic-realism-case-10	アルゼンチン対スペイン乱闘中継
cinematic-realism-case-11	泥濘の森ラリー・ドリフト
pov-fpv-case-1	胸部カメラによる迷彩チェイス
pov-fpv-case-2	上海サイバーパンク都市のショーリール
pov-fpv-case-3	呪われた侍の一貫性アクションプロンプト
pov-fpv-case-4	Y2K プールパーティーのビデオカメラ・モンタージュ
pov-fpv-case-5	テスラカード視点の都市バースト
pov-fpv-case-6	アニメ MV の極端なクローズアップ
pov-fpv-case-7	高速でシームレスな 16 ショット
pov-fpv-case-8	中世ファンタジー都市への降下
pov-fpv-case-9	ソーダのグラスに落ちる氷を一人称で見る
pov-fpv-case-10	自然な粒子感を持つ荒々しい手持ち 35 mm フィルム
pov-fpv-case-11	10 秒のフォトリアルな映画的 POV 映像
pov-fpv-case-12	終末後の超未来メガシティが嵐の中で目覚める
pov-fpv-case-13	スタイル：超写実的な工業タイムラプス
pov-fpv-case-14	怪物襲撃で変身する女子高生
pov-fpv-case-15	東京 POV ジェットコースター
pov-fpv-case-16	映画的な北京文化広告 — 8K 一人称視点
pov-fpv-case-17	極限マクロ FPV — 妖精の翼を追うショット
pov-fpv-case-18	火山洞窟への重力ダイブ
pov-fpv-case-19	超音速で駆け抜ける砂漠峡谷 POV
pov-fpv-case-20	フランス花火 FPV フライオーバー
pov-fpv-case-21	サイバネティック戦場 FPV ダイブ
commercial-product-case-1	香水 CM 風アニメ三人組ダンスステージ
commercial-product-case-2	ダークファンタジー教会の決闘
commercial-product-case-3	ダークファンタジー神殿ホールの決闘
commercial-product-case-4	日本のお菓子 CM のオチ
commercial-product-case-5	Seedance 2 向け映画的武術シーケンス
commercial-product-case-6	日本の教室でささやく恋
commercial-product-case-7	LaFerrari CM ストーリーボード
commercial-product-case-8	熱血アニメの最終決闘
commercial-product-case-9	磁器クチュールの天空鏡面ランウェイ
commercial-product-case-10	現代の農村クリエイターによる収穫広告
commercial-product-case-11	ネオン街のストリートレース
commercial-product-case-12	スーパーモデルと高級スポーツカー
commercial-product-case-13	研究所を破壊したアンドロイド少女の逃走
commercial-product-case-14	ネオン廃墟都市のゲームトレーラー
commercial-product-case-15	オリジナル・ダークファンタジーアクション短編
commercial-product-case-16	00:00–00:04 ショット 1：追跡撮影
commercial-product-case-17	列車屋根上の戦術格闘
commercial-product-case-18	マンハッタン取引フロアの狂騒
commercial-product-case-19	ポリツィオッテスコ風の水曜日
commercial-product-case-20	折りたたみスマートフォンのファッション広告
commercial-product-case-21	旅の相棒になるスーツケースのモンタージュ
commercial-product-case-22	真上からのファッションルックブック — 衣装替え
commercial-product-case-23	高級ライフスタイル CM — Vlog 自撮り風
commercial-product-case-24	ビート同期の防水スニーカー映像
commercial-product-case-25	マンゴスチン美容液のプロダクトリビール
commercial-product-case-26	ムンバイのスーツケースタクシーお披露目
commercial-product-case-27	インフルエンサーの崖上ヴィラルームツアー
reference-driven-case-1	骸骨ピアニストのミニチュアジオラマ演奏
reference-driven-case-2	嵐の船上の王女対クラーケン
reference-driven-case-3	メイド剣舞：メイ対ココ
reference-driven-case-4	終末の屋上でピアノに別れを告げる
reference-driven-case-5	映画的 8 mm 魚眼、FPV レースドローン、超流動モーション
reference-driven-case-6	参照画像駆動のカンフースタント
reference-driven-case-7	レイトレーシング、Unreal Engine レンダリング、豪雨の町
reference-driven-case-8	月面コンビニの夜勤
reference-driven-case-9	屋上で覚醒し F-14 へ変形
reference-driven-case-10	装甲組み立てからの街頭反撃
reference-driven-case-11	画像 1 のキャラクターを実写人物化
reference-driven-case-12	ホッキョクグマのマッチカット剣闘テンプレート
reference-driven-case-13	7 枚の画像によるシームレス変形
reference-driven-case-14	Stridex スニーカー CM
reference-driven-case-15	歌う猫を使った画像駆動プロンプト
reference-driven-case-16	キャラクター参照アニメプロンプト
reference-driven-case-17	アニメ動物を実写化
reference-driven-case-18	固定ストーリーボードの参照階層
reference-driven-case-19	VOLTIA 吸電モンタージュ
reference-driven-case-20	クレオパトラの宮殿告白
reference-driven-case-21	街灯の下の雨の再会
reference-driven-case-22	昆劇楽屋の一発撮り変身
reference-driven-case-23	山頂のドラゴン離陸
surreal-vfx-case-1	無重力の刀剣戦
surreal-vfx-case-2	雲を泳ぐクジラのシュールな叙事詩
surreal-vfx-case-3	深海ダイバーが海洋生物へ変貌
surreal-vfx-case-4	異次元メガシティの裂け目崩壊
surreal-vfx-case-5	雨の地下路地での融合
surreal-vfx-case-6	量子現実の破砕による街路の裂け目
surreal-vfx-case-7	目が突然開く
surreal-vfx-case-8	浮遊する溶岩川の上空で激突
surreal-vfx-case-9	クリエイティブディレクターの次元歩行
surreal-vfx-case-10	深淵の存在を刻む祭壇碑文 — ダークファンタジー
surreal-vfx-case-11	浮遊 UI カラーホイールによる場面変換
surreal-vfx-case-12	炎の女帝の変身シーケンス
surreal-vfx-case-13	砂の巨人への砂漠変身
surreal-vfx-case-14	逃走車のごみ収集車変形
surreal-vfx-case-15	森の守護者の書道変身
surreal-vfx-case-16	呪われた茶会の亡霊
templates-structured-case-1	超大型空母の壊滅的沈没
templates-structured-case-2	記憶の断片を再構築
templates-structured-case-3	設計図から現実へ — 平屋住宅の変形
templates-structured-case-4	武術オートクチュールの仕立て屋
templates-structured-case-5	ビート同期の衣装切り替えテンプレート
templates-structured-case-6	踊る超高層ビル街テンプレート
templates-structured-case-7	星明かりの影／星くずのシルエット
templates-structured-case-8	絵画風パルクール POV テンプレート
templates-structured-case-9	360 度 POV 下り階段ラン・テンプレート
templates-structured-case-10	食べ物とキャラクターの動きテンプレート
templates-structured-case-11	不可能カメラのキッチンダッシュ
templates-structured-case-12	時間停止 POV バースト
templates-structured-case-13	宇宙飛行士の初船外活動テンプレート
templates-structured-case-14	ゴールデンレトリバーの日常テンプレート
templates-structured-case-15	スタイライズ 3D 理髪店変身シーケンス
templates-structured-case-16	印象派のボートをこぐ手テンプレート
templates-structured-case-17	女戦士 — 構造化された被写体プロンプト
templates-structured-case-18	箱から現れるロフト空間
templates-structured-case-19	表情ディテール検証
templates-structured-case-20	浸水した舞踏会場の脱出ストーリーボード
templates-structured-case-21	駅ホーム決闘ビートマップ
templates-structured-case-22	ちびキャラの嵐の窓吹き飛び
general-cinematic-case-1	ハイヒールとビートが同期するファッション接写
general-cinematic-case-2	子ども部屋でミニスケートボード脱出
general-cinematic-case-3	ラッカー・パークのおばあちゃん対決
general-cinematic-case-4	消防士による赤ちゃん救出
general-cinematic-case-5	古代衣装への変身ショー
general-cinematic-case-6	夜の銀座、未来のサイバーパンク
general-cinematic-case-7	跳ねる者の物語
general-cinematic-case-8	渋谷スクランブル交差点の中央に立つ怪しい男
general-cinematic-case-9	漁船の群衆を捉えるスマホ映像
general-cinematic-case-10	デジタルトンネルを高速落下する少女
general-cinematic-case-11	スカイツリー・レールガン発射
general-cinematic-case-12	ハリウッド映画の予告編
general-cinematic-case-13	映画的な縦型 9:16 シーケンス
general-cinematic-case-14	沿岸都市のそばで巨大氷河壁がフィヨルドへ崩落
general-cinematic-case-15	月明かりのピアノ追跡劇とネズミ
general-cinematic-case-16	15 秒連続ワンカットのカートゥーン
general-cinematic-case-17	夕暮れのスチームパンク飛行船戦
general-cinematic-case-18	ビーチサンダルのジェット翼を追うショット
general-cinematic-case-19	深山にある古寺の外観
general-cinematic-case-20	自由の女神と日の出のストーリーボード
general-cinematic-case-21	劇的照明で描く歴史場面
general-cinematic-case-22	ロケットサーフィンの連続追跡撮影
general-cinematic-case-23	スタンドアップコメディ独白テンプレート
general-cinematic-case-24	誕生日の裏切りを描くレストランドラマ
general-cinematic-case-25	古代パルクールの衣装替え
general-cinematic-case-26	エンジン内部 — ピストンの機械ディテール
general-cinematic-case-27	90 年代日本恋愛シミュレーション — セル画風
general-cinematic-case-28	映画演出技法 — マルチショット・プロンプト
general-cinematic-case-29	東アジア女性のポートレート — 自然な笑顔
general-cinematic-case-30	終末後のサバイバル — 映画的セットアップ
general-cinematic-case-31	ピクサー風の森の空き地 — 3D アニメーション
general-cinematic-case-32	布団の中でおやつを盗む子猫
general-cinematic-case-33	Seedance 2.0 T2V 自然発話テスト
general-cinematic-case-34	紙人形ホラーアニメーション
general-cinematic-case-35	赤い砂漠を走るバイクの追跡ショット
general-cinematic-case-36	ポンペイ災害の DV 映像
general-cinematic-case-37	廃遊園地を歩く宇宙飛行士
general-cinematic-case-38	海賊アヒルのバスタブ航海
general-cinematic-case-39	闇の地球を映す軌道基地VHS
general-cinematic-case-40	かぼちゃ屋台の MiniDV ハプニング
