action-fantasy-case-1	Sokak rap müzik videosu performansı
action-fantasy-case-2	Kara kedinin çölde dövüş sanatları düellosu
action-fantasy-case-3	Canlı çekim nefes tekniği düellosu
action-fantasy-case-4	20 kesitli yüksek hızlı anime sekansı
action-fantasy-case-5	Yağa bulanmış bir tamircinin onarımını izle
action-fantasy-case-6	Samuray intikamı kısa filmi
action-fantasy-case-7	Stilize 3D savaş animasyonu
action-fantasy-case-8	Hızlı tempolu komedi parodisi
action-fantasy-case-9	Dev ninja tokusatsu savaşı
action-fantasy-case-10	Japon animesi diyalog sekansı
action-fantasy-case-11	15 saniyelik özgün element savaşı kısa filmi
action-fantasy-case-12	Fabergé tarzı fantastik yumurta animasyonu
action-fantasy-case-13	Özgün element savaşı kısa filmi
action-fantasy-case-14	Sinematik bilim kurgu ve fantezi düellosu
action-fantasy-case-15	15 saniyelik kesintisiz tek plan aksiyon sekansı
action-fantasy-case-16	Uçurumda karşı karşıya gelen yalnız samuray
action-fantasy-case-17	Hain ejderhanın havadan dalışı
action-fantasy-case-18	Sıfır yerçekiminde meka kapışması
action-fantasy-case-19	Ejderhaya binen bir kızın süper hızlı uçuş aksiyonu
action-fantasy-case-20	15 saniyelik özgün çöl dövüş sanatları kısa filmi
action-fantasy-case-21	Kanyon hava saldırısı sekansı
action-fantasy-case-22	15 saniyelik hipergerçekçi epik savaş gişe filmi
action-fantasy-case-23	Ofisteki kahve molası ters gider
action-fantasy-case-24	15 saniyelik kesintisiz tek plan aksiyon sekansı
action-fantasy-case-25	Siyah kuğu boksöre karşı
action-fantasy-case-26	Zemini yaran Süpermen kalkışı
action-fantasy-case-27	Bulut mağarasındaki kılıç gölgesi
action-fantasy-case-28	Tanrılar Şehri — tek planda Doğu fantezi uçuşu
action-fantasy-case-29	Epik fantezi savaşı — sinematik 10 saniyelik sekans
action-fantasy-case-30	Doğu tarzı karanlık fantezi dönüşümü
action-fantasy-case-31	Nehirde timsah yakıt hattı tuzağı
action-fantasy-case-32	Elektrikli yeraltı arenası düellosu
action-fantasy-case-33	Pistte uçağı sürükleyen timsah
action-fantasy-case-34	Şimşek forvetin anime golü
action-fantasy-case-35	Kır çiçekli vadide grifon uçuşu
action-fantasy-case-36	Moğol süvarisinin Part atışı
action-fantasy-case-37	Dev kurbağa ulak koşusu
cinematic-realism-case-1	Modern Japonya belgesel sekansı
cinematic-realism-case-2	Gölgeyi takip eden longboard inişi
cinematic-realism-case-3	Meteorla uyanan savaş kahramanı
cinematic-realism-case-4	Sisli kapsül adası draması
cinematic-realism-case-5	Fırtınalı uçurumda samurayın ortaya çıkışı
cinematic-realism-case-6	VHS havuz cannonball hakemi
pov-fpv-case-1	Göğüs kameralı kamuflaj kovalamacası
pov-fpv-case-2	Şanghay siberpunk şehir tanıtım videosu
pov-fpv-case-3	Lanetli samuray için tutarlı aksiyon istemi
pov-fpv-case-4	Y2K havuz partisi kamera montajı
pov-fpv-case-5	Tesla kartı bakış açısından şehir patlaması
pov-fpv-case-6	Anime müzik videosu aşırı yakın plan sekansı
pov-fpv-case-7	Hızlı ve kesintisiz 16 planlık sekans
pov-fpv-case-8	Orta Çağ fantezi şehrine iniş
pov-fpv-case-9	Gazoz bardağına düşen buz küpünün birinci şahıs görünümü
pov-fpv-case-10	Doğal grenli, sert ve ham elde çekim 35 mm film estetiği
pov-fpv-case-11	10 saniyelik fotogerçekçi sinematik POV video
pov-fpv-case-12	Kıyamet sonrası süper fütüristik mega kent fırtınada uyanıyor
pov-fpv-case-13	Tarz: ultra gerçekçi endüstriyel hızlandırılmış çekim
pov-fpv-case-14	Canavar saldırısında dönüşen liseli kız
pov-fpv-case-15	Tokyo birinci şahıs hız treni
pov-fpv-case-16	Sinematik Pekin kültür reklamı — 8K birinci şahıs
pov-fpv-case-17	Aşırı makro FPV — peri kanadı takip çekimi
pov-fpv-case-18	Volkanik mağarada yerçekimi dalışı
pov-fpv-case-19	Süpersonik çöl kanyonu birinci şahıs uçuşu
pov-fpv-case-20	Fransa havai fişek FPV uçuşu
commercial-product-case-1	Parfüm reklamı tarzında anime üçlüsü dans sahnesi
commercial-product-case-2	Karanlık fantezi kilise düellosu
commercial-product-case-3	Karanlık fantezi tapınak salonu düellosu
commercial-product-case-4	Japon atıştırmalık reklamında sürpriz espri
commercial-product-case-5	Seedance 2 için sinematik dövüş sanatları sekansı
commercial-product-case-6	Japon sınıfında fısıltılı aşk
commercial-product-case-7	LaFerrari reklamı görsel taslağı
commercial-product-case-8	Coşkulu anime final düellosu
commercial-product-case-9	Porselen haute couture gökyüzü aynası podyumu
commercial-product-case-10	Modern kırsal içerik üreticisinin hasat reklamı
commercial-product-case-11	Neon sokak yarışı sekansı
commercial-product-case-12	Süpermodel ve lüks spor otomobiller
commercial-product-case-13	Laboratuvarı yok eden android kızın kovalamacası
commercial-product-case-14	Neon harabe şehir oyun fragmanı
commercial-product-case-15	Özgün karanlık fantezi aksiyon kısa filmi
commercial-product-case-16	00:00–00:04 Plan 1: takip çekimi
commercial-product-case-17	Tren üstünde taktik dövüş sekansı
commercial-product-case-18	Manhattan işlem salonunda çılgınlık
commercial-product-case-19	Poliziottesco tarzı Çarşamba
commercial-product-case-20	Katlanabilir akıllı telefon moda reklamı
commercial-product-case-21	Seyahat arkadaşı valiz montajı
commercial-product-case-22	Üstten çekim moda lookbook’u — kıyafet değişim sekansı
commercial-product-case-23	Premium yaşam tarzı reklamı — vlog selfie tarzı
commercial-product-case-24	Ritimle eşleşen su geçirmez spor ayakkabı filmi
commercial-product-case-25	Mangosten serum ürün lansmanı
commercial-product-case-26	Mumbai bavul taksi gösterimi
commercial-product-case-27	Uçurum villasında influencer turu
reference-driven-case-1	Minyatür diyoramada iskelet piyanist performansı
reference-driven-case-2	Fırtına gemisindeki prenses Krakene karşı
reference-driven-case-3	Hizmetçi kılıç dansı: Mei Coco’ya karşı
reference-driven-case-4	Kıyamet sonrası çatıda piyanoya veda
reference-driven-case-5	Sinematik 8 mm balıkgözü lens, FPV yarış dronu ve hiper akıcı hareket
reference-driven-case-6	Referans odaklı kung fu dublör sekansı
reference-driven-case-7	Işın izleme, Unreal Engine görüntüsü ve şiddetli yağmurdaki kasaba
reference-driven-case-8	Ay marketinde gece vardiyası
reference-driven-case-9	Çatıda uyanış ve F-14’e dönüşüm
reference-driven-case-10	Zırh montajı ve sokak karşı saldırısı
reference-driven-case-11	Görsel 1’deki karakteri gerçek kişi canlı çekim tarzına dönüştürme
reference-driven-case-12	Kutup ayısı eşlemeli kesim kılıç düellosu şablonu
reference-driven-case-13	Yedi görselli kesintisiz dönüşüm sekansı
reference-driven-case-14	Stridex spor ayakkabı reklamı
reference-driven-case-15	Şarkı söyleyen kedili görsel odaklı istem
reference-driven-case-16	Karakter referanslı anime istemi
reference-driven-case-17	Çizgi filmden canlı çekim hayvanlara
reference-driven-case-18	Kilitli görsel taslak referans hiyerarşisi
reference-driven-case-19	VOLTIA güç emiş montajı
reference-driven-case-20	Kleopatra'nın saray itirafı
reference-driven-case-21	Fener altında yağmurlu buluşma
surreal-vfx-case-1	Sıfır yerçekiminde katana dövüşü
surreal-vfx-case-2	Bulutlardaki balinanın gerçeküstü destanı
surreal-vfx-case-3	Uçurum dalgıcının deniz canlısına dönüşümü
surreal-vfx-case-4	Boyutlar arası mega kent yarığının çöküşü
surreal-vfx-case-5	Yağmurlu yeraltı sokağında birleşme
surreal-vfx-case-6	Kuantum gerçekliği kırılmasıyla oluşan sokak yarığı
surreal-vfx-case-7	Göz aniden açılır
surreal-vfx-case-8	Yüzen lav nehrinin üzerinde havada çarpışırlar
surreal-vfx-case-9	Kreatif direktörün boyut yürüyüşü
surreal-vfx-case-10	Uçurum varlığı sunağı yazıtı — karanlık fantezi
surreal-vfx-case-11	Yüzen arayüz renk çarkıyla sahne dönüşümü
surreal-vfx-case-12	Ateş imparatoriçesinin dönüşüm sekansı
surreal-vfx-case-13	Çölde kum titanına dönüşüm
surreal-vfx-case-14	Kaçış arabasının çöp kamyonuna dönüşümü
templates-structured-case-1	Süper uçak gemisinin felaketle batışı
templates-structured-case-2	Bellek parçalarının yeniden inşası
templates-structured-case-3	Plana göre gerçeğe — tek katlı ev dönüşümü
templates-structured-case-4	Dövüş sanatları haute couture terzisi
templates-structured-case-5	Ritimle eşleşen kıyafet geçiş şablonu
templates-structured-case-6	Dans eden gökdelenler bölgesi şablonu
templates-structured-case-7	Yıldız ışığı gölgesi / yıldız tozu silüeti
templates-structured-case-8	Resimsel parkur POV şablonu
templates-structured-case-9	360 derece POV yokuş aşağı merdiven koşusu şablonu
templates-structured-case-10	Yiyecek ve karakter hareketi şablonu
templates-structured-case-11	İmkânsız kamera mutfak koşusu şablonu
templates-structured-case-12	Zaman dondurmalı POV patlama şablonu
templates-structured-case-13	Astronotun ilk uzay yürüyüşü şablonu
templates-structured-case-14	Golden retriever günlük rutin şablonu
templates-structured-case-15	Stilize 3D berber dönüşüm sekansı
templates-structured-case-16	İzlenimci kürek çeken eller şablonu
templates-structured-case-17	Kadın savaşçı — yapılandırılmış özne istemi
templates-structured-case-18	Kutudan çıkan loft iç mekânı
general-cinematic-case-1	Topuklu ayakkabı ritim eşlemeli moda yakın planı
general-cinematic-case-2	Çocuk odasında mini kaykayla kaçış
general-cinematic-case-3	Rucker Park’ta büyükanne kapışması
general-cinematic-case-4	İtfaiyecinin bebek kurtarma sekansı
general-cinematic-case-5	Antik kostüm dönüşüm gösterisi
general-cinematic-case-6	Gece Ginza, geleceğin siberpunk dünyası
general-cinematic-case-7	Bir sıçrayıcının hikâyeleri
general-cinematic-case-8	Şüpheli bir adam Shibuya kavşağının ortasında duruyor
general-cinematic-case-9	Balıkçı teknesi kalabalığında telefon çekimi
general-cinematic-case-10	Dijital tünelde hızla düşen kız
general-cinematic-case-11	Skytree raylı top fırlatma sekansı
general-cinematic-case-12	Hollywood film fragmanı
general-cinematic-case-13	Sinematik dikey 9:16 sekans
general-cinematic-case-14	Dev buzul duvarı kıyı kentinin yanında fiyorda çöküyor
general-cinematic-case-15	Ay ışığında fareli piyano kovalamacası
general-cinematic-case-16	15 saniyelik kesintisiz tek plan çizgi film sekansı
general-cinematic-case-17	Gün batımında steampunk hava gemisi savaşı
general-cinematic-case-18	Parmak arası terlik jet kanadı takip çekimi
general-cinematic-case-19	Derin dağlardaki antik tapınağın dışı
general-cinematic-case-20	Özgürlük Heykeli gün doğumu görsel taslağı
general-cinematic-case-21	Dramatik ışıklı tarihî sahne
general-cinematic-case-22	Roket sörfü kesintisiz takip çekimi
general-cinematic-case-23	Stand-up komedi monoloğu şablonu
general-cinematic-case-24	Doğum gününde ihanet restoran draması
general-cinematic-case-25	Antik parkur kostüm değiştirme sekansı
general-cinematic-case-26	Motorun içi — piston mekanik ayrıntısı
general-cinematic-case-27	90’lar Japon romantik simülasyonu — cel animasyon tarzı
general-cinematic-case-28	Sinematik yönetmenlik teknikleri — çok planlı istem
general-cinematic-case-29	Doğu Asyalı kadın portresi — doğal gülümseme
general-cinematic-case-30	Kıyamet sonrası hayatta kalma — sinematik kurulum
general-cinematic-case-31	Pixar tarzı orman açıklığı — 3D animasyon sahnesi
general-cinematic-case-32	Battaniyenin altında atıştırmalık çalan yavru kedi
general-cinematic-case-33	Seedance 2.0 T2V doğal konuşma testi
general-cinematic-case-34	Kâğıt kukla korku animasyonu
general-cinematic-case-35	Kızıl çölde motosiklet takip çekimi
general-cinematic-case-36	Pompeii felaketinin DV görüntüleri
general-cinematic-case-37	Terk edilmiş lunaparkta astronot yürüyüşü
