action-fantasy-case-1	街頭說唱 MV 表演
action-fantasy-case-2	黑貓沙漠武俠對決
action-fantasy-case-3	真人版呼吸術決鬥
action-fantasy-case-4	20 鏡高速動畫序列
action-fantasy-case-5	觀看滿手機油的機械師維修
action-fantasy-case-6	武士復仇短片
action-fantasy-case-7	風格化 3D 戰鬥動畫
action-fantasy-case-8	快節奏喜劇惡搞短片
action-fantasy-case-9	巨型忍者特攝大戰
action-fantasy-case-10	日式動畫對話序列
action-fantasy-case-11	15 秒原創元素大戰短片
action-fantasy-case-12	法貝熱幻想彩蛋動畫
action-fantasy-case-13	原創元素大戰短片
action-fantasy-case-14	電影級科幻奇幻對決
action-fantasy-case-15	15 秒連續單鏡頭動作序列
action-fantasy-case-16	孤獨武士懸崖對峙
action-fantasy-case-17	空中遊俠俯衝巨龍
action-fantasy-case-18	零重力機甲爭奪序列
action-fantasy-case-19	少女騎龍的超高速飛行動作場面
action-fantasy-case-20	15 秒原創沙漠武俠短片
action-fantasy-case-21	峽谷空襲序列
action-fantasy-case-22	15 秒超寫實史詩戰爭大片
action-fantasy-case-23	失控的辦公室咖啡休息時間
action-fantasy-case-24	15 秒連續單鏡頭動作序列
action-fantasy-case-25	黑天鵝對決拳擊手
action-fantasy-case-26	地面開裂超人起飛
action-fantasy-case-27	雲窟劍影
action-fantasy-case-28	諸神之城——東方奇幻一鏡飛行
action-fantasy-case-29	史詩奇幻大戰——電影級 10 秒序列
action-fantasy-case-30	暗黑奇幻變身——東方風格
action-fantasy-case-31	鱷魚燃油管線河道陷阱
action-fantasy-case-32	地下電光競技場對決
action-fantasy-case-33	鱷魚跑道拖拽飛機
action-fantasy-case-34	閃電前鋒動畫進球
action-fantasy-case-35	野花獅鷲山谷飛行
action-fantasy-case-36	蒙古騎兵回身射箭
cinematic-realism-case-1	現代日本紀錄片序列
cinematic-realism-case-2	追逐影子的長板下坡
cinematic-realism-case-3	流星覺醒的戰爭女英雄
cinematic-realism-case-4	迷霧膠囊島劇情
cinematic-realism-case-5	風暴懸崖武士現身
cinematic-realism-case-6	VHS 泳池炮彈跳裁判
pov-fpv-case-1	胸前相機迷彩追逐序列
pov-fpv-case-2	上海賽博龐克城市炫剪
pov-fpv-case-3	受詛咒武士一致性動作提示詞
pov-fpv-case-4	千禧復古泳池派對攝影機蒙太奇
pov-fpv-case-5	特斯拉卡片視角城市爆發
pov-fpv-case-6	動畫 MV 極致特寫序列
pov-fpv-case-7	快速無縫 16 鏡序列
pov-fpv-case-8	中世紀奇幻城市俯衝
pov-fpv-case-9	冰塊落入汽水杯的第一人稱視角
pov-fpv-case-10	粗獷原始的手持 35 毫米膠片質感與自然顆粒
pov-fpv-case-11	10 秒照片級真實電影 POV 影片
pov-fpv-case-12	末日後的超未來巨城在風暴中甦醒
pov-fpv-case-13	風格：超寫實工業縮時攝影
pov-fpv-case-14	怪物襲擊中的女學生變身
pov-fpv-case-15	東京第一人稱雲霄飛車
pov-fpv-case-16	電影級北京文化廣告——8K 第一人稱
pov-fpv-case-17	極致微距 FPV——仙女翅膀跟拍
pov-fpv-case-18	火山洞穴重力俯衝
pov-fpv-case-19	超音速沙漠峽谷 POV
pov-fpv-case-20	法國煙火 FPV 飛越
commercial-product-case-1	香水廣告風動畫三人舞台
commercial-product-case-2	暗黑奇幻教堂決鬥
commercial-product-case-3	暗黑奇幻神社大殿決鬥
commercial-product-case-4	日式零食廣告反轉笑點
commercial-product-case-5	Seedance 2 電影級武術序列
commercial-product-case-6	日本教室耳語戀情
commercial-product-case-7	LaFerrari 商業廣告分鏡
commercial-product-case-8	熱血動畫終極決鬥
commercial-product-case-9	瓷藝高級時裝天空鏡面秀場
commercial-product-case-10	現代鄉村創作者豐收廣告
commercial-product-case-11	霓虹街頭賽車序列
commercial-product-case-12	超模與豪華跑車
commercial-product-case-13	仿生少女實驗室破壞追逐
commercial-product-case-14	霓虹廢墟城市遊戲預告片
commercial-product-case-15	原創暗黑奇幻動作短片
commercial-product-case-16	00:00–00:04 鏡頭 1：跟拍
commercial-product-case-17	列車頂部戰術格鬥序列
commercial-product-case-18	曼哈頓交易大廳狂潮
commercial-product-case-19	警匪片風格星期三
commercial-product-case-20	摺疊螢幕手機時尚廣告
commercial-product-case-21	旅行箱夥伴蒙太奇
commercial-product-case-22	俯拍時尚型錄——換裝序列
commercial-product-case-23	高端生活方式廣告——自拍影片部落格風格
commercial-product-case-24	節拍同步防水運動鞋廣告
commercial-product-case-25	山竹精華液產品亮相
commercial-product-case-26	孟買行李箱計程車亮相
reference-driven-case-1	骷髏鋼琴家微縮景觀表演
reference-driven-case-2	風暴船上的公主對決海怪
reference-driven-case-3	女僕劍舞：芽衣對決可可
reference-driven-case-4	末日屋頂鋼琴告別
reference-driven-case-5	電影級 8 毫米魚眼鏡頭、FPV 競速無人機相機與超流暢運動
reference-driven-case-6	參考圖驅動的功夫特技序列
reference-driven-case-7	光線追蹤、虛幻引擎算圖與暴雨小鎮
reference-driven-case-8	月球便利商店夜班
reference-driven-case-9	屋頂覺醒並變形成 F-14
reference-driven-case-10	裝甲組裝街頭反擊
reference-driven-case-11	角色參考圖 1，轉為真人實拍風格
reference-driven-case-12	北極熊匹配剪輯劍鬥模板
reference-driven-case-13	七圖無縫變形序列
reference-driven-case-14	Stridex 運動鞋廣告
reference-driven-case-15	帶歌唱貓咪的圖像驅動提示詞
reference-driven-case-16	角色參考動畫提示詞
reference-driven-case-17	卡通動物實拍化
reference-driven-case-18	鎖定分鏡參考層級
reference-driven-case-19	VOLTIA 吸能蒙太奇
reference-driven-case-20	克麗奧佩脫拉宮廷告白
reference-driven-case-21	燈下雨中重逢
surreal-vfx-case-1	零重力武士刀戰鬥
surreal-vfx-case-2	雲中鯨魚超現實史詩
surreal-vfx-case-3	深淵潛水員變形為海洋生物
surreal-vfx-case-4	跨維度巨城裂隙崩塌
surreal-vfx-case-5	雨夜地下巷道融合
surreal-vfx-case-6	量子現實斷裂街頭裂隙
surreal-vfx-case-7	眼睛突然睜開
surreal-vfx-case-8	他們在漂浮熔岩河上空相撞
surreal-vfx-case-9	創意總監維度漫步
surreal-vfx-case-10	深淵實體祭壇銘文——暗黑奇幻
surreal-vfx-case-11	懸浮 UI 色輪場景變換
surreal-vfx-case-12	火焰女皇變身序列
surreal-vfx-case-13	沙漠沙巨人變身
surreal-vfx-case-14	逃逸車變身垃圾車
templates-structured-case-1	超級航空母艦災難性沉沒
templates-structured-case-2	記憶碎片重構
templates-structured-case-3	從藍圖到現實——單層住宅變形
templates-structured-case-4	武術高級時裝裁縫
templates-structured-case-5	節拍同步換裝模板
templates-structured-case-6	舞動摩天大樓街區模板
templates-structured-case-7	星光之影／星塵剪影
templates-structured-case-8	繪畫風跑酷 POV 模板
templates-structured-case-9	360° 第一人稱下坡跑樓梯模板
templates-structured-case-10	食物與角色運動模板
templates-structured-case-11	不可能機位廚房衝刺模板
templates-structured-case-12	時間凍結 POV 爆發模板
templates-structured-case-13	太空人首次太空漫步模板
templates-structured-case-14	黃金獵犬日常模板
templates-structured-case-15	風格化 3D 理髮店變身序列
templates-structured-case-16	印象派划船手部模板
templates-structured-case-17	女戰士——結構化主體提示詞
general-cinematic-case-1	高跟鞋節拍同步時尚特寫
general-cinematic-case-2	兒童臥室裡的迷你滑板逃脫
general-cinematic-case-3	洛克公園奶奶對決
general-cinematic-case-4	消防員營救嬰兒序列
general-cinematic-case-5	古裝變身展示
general-cinematic-case-6	夜晚銀座，未來賽博龐克
general-cinematic-case-7	跳蟲的故事
general-cinematic-case-8	可疑男子站在澀谷十字路口中央
general-cinematic-case-9	漁船人群手機拍攝
general-cinematic-case-10	少女高速墜入數位隧道
general-cinematic-case-11	晴空塔軌道炮發射序列
general-cinematic-case-12	好萊塢電影預告片
general-cinematic-case-13	電影級直式 9:16 序列
general-cinematic-case-14	巨型冰川牆在海濱城市旁崩入峽灣
general-cinematic-case-15	月光下老鼠參與的鋼琴追逐
general-cinematic-case-16	15 秒連續單鏡頭卡通序列
general-cinematic-case-17	日落時的蒸汽龐克飛船大戰
general-cinematic-case-18	夾腳拖噴射翼跟拍
general-cinematic-case-19	深山古寺外景
general-cinematic-case-20	自由女神像日出分鏡
general-cinematic-case-21	戲劇光線下的歷史場景
general-cinematic-case-22	火箭衝浪連續跟拍
general-cinematic-case-23	單口喜劇獨白模板
general-cinematic-case-24	生日背叛餐廳劇情
general-cinematic-case-25	古代跑酷換裝序列
general-cinematic-case-26	引擎內部——活塞機械細節
general-cinematic-case-27	90 年代日式戀愛模擬——賽璐璐動畫風
general-cinematic-case-28	電影導演技巧——多鏡頭提示詞
general-cinematic-case-29	東亞女性肖像——自然微笑
general-cinematic-case-30	末日後求生——電影級設定
general-cinematic-case-31	皮克斯森林空地——3D 動畫場景
general-cinematic-case-32	小貓躲在被窩裡偷吃零食
general-cinematic-case-33	Seedance 2.0 文生影片自然語音測試
general-cinematic-case-34	紙偶恐怖動畫
general-cinematic-case-35	紅色沙漠摩托車追蹤鏡頭
general-cinematic-case-36	龐貝災難 DV 紀錄畫面
